epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,212.624,0.48074,0.43793,0.3769,0.79855,0.9995,1,0.995,0.9354,0.9995,1,0.995,0.65032,0.35154,0.30264,0.30078,0.80865,0.0013862,0.0013862,0.0013862
33,218.795,0.45686,0.42164,0.37044,0.79173,0.99965,1,0.995,0.9045,0.99965,1,0.995,0.65745,0.43788,0.30809,0.28921,0.81751,0.0013664,0.0013664,0.0013664
34,224.141,0.4838,0.42447,0.38089,0.79491,0.99957,1,0.995,0.93554,0.99957,1,0.995,0.62362,0.38601,0.27599,0.30554,0.80894,0.0013466,0.0013466,0.0013466
35,229.923,0.47127,0.41285,0.37769,0.79424,0.99954,1,0.995,0.93724,0.99954,1,0.995,0.64673,0.34727,0.26424,0.29254,0.80917,0.0013268,0.0013268,0.0013268
36,235.95,0.44604,0.4334,0.36449,0.79467,0.99965,1,0.995,0.93099,0.99965,1,0.995,0.68129,0.34541,0.28337,0.274,0.81053,0.001307,0.001307,0.001307
37,241.322,0.44458,0.40935,0.35102,0.7911,0.99964,1,0.995,0.93265,0.99964,1,0.995,0.65319,0.34021,0.28825,0.26875,0.80755,0.0012872,0.0012872,0.0012872
38,247.563,0.47103,0.43323,0.36497,0.79263,0.99965,1,0.995,0.94312,0.99965,1,0.995,0.64204,0.32117,0.28058,0.27296,0.80754,0.0012674,0.0012674,0.0012674
39,253.386,0.43831,0.4093,0.34674,0.78782,0.99966,1,0.995,0.94003,0.99966,1,0.995,0.64419,0.35496,0.27228,0.27427,0.81441,0.0012476,0.0012476,0.0012476
40,260.122,0.42787,0.38819,0.34229,0.78819,0.99959,1,0.995,0.90457,0.99959,1,0.995,0.68227,0.41291,0.27822,0.27574,0.81611,0.0012278,0.0012278,0.0012278
41,265.798,0.45423,0.38573,0.34833,0.79309,0.99959,1,0.995,0.9446,0.99959,1,0.995,0.63737,0.35187,0.27296,0.26547,0.80514,0.001208,0.001208,0.001208
42,272.383,0.44093,0.37311,0.34751,0.79499,0.99964,1,0.995,0.93815,0.99964,1,0.995,0.66914,0.35489,0.29386,0.26129,0.80688,0.0011882,0.0011882,0.0011882
43,277.983,0.43126,0.37907,0.33392,0.79195,0.99967,1,0.995,0.91158,0.99967,1,0.995,0.69759,0.42187,0.26745,0.27798,0.81867,0.0011684,0.0011684,0.0011684
44,284.696,0.45801,0.40085,0.3389,0.79267,0.99963,1,0.995,0.94183,0.99963,1,0.995,0.63524,0.32408,0.34076,0.26627,0.80771,0.0011486,0.0011486,0.0011486
45,290.247,0.45408,0.40302,0.34451,0.78702,0.99964,1,0.995,0.94507,0.99964,1,0.995,0.66365,0.34367,0.25767,0.25247,0.80521,0.0011288,0.0011288,0.0011288
46,296.773,0.43449,0.39016,0.3311,0.78487,0.99965,1,0.995,0.94459,0.99965,1,0.995,0.67268,0.32834,0.25814,0.24335,0.80581,0.001109,0.001109,0.001109
47,302.324,0.42795,0.36348,0.32199,0.78977,0.99964,1,0.995,0.9426,0.99964,1,0.995,0.64014,0.33191,0.25946,0.24839,0.80687,0.0010892,0.0010892,0.0010892
48,308.244,0.4348,0.39288,0.32544,0.78675,0.99962,1,0.995,0.94107,0.99962,1,0.995,0.65306,0.3129,0.26839,0.24791,0.80573,0.0010694,0.0010694,0.0010694
49,314.031,0.41941,0.3614,0.32308,0.79142,0.99966,1,0.995,0.94942,0.99966,1,0.995,0.65571,0.31272,0.24857,0.2465,0.80463,0.0010496,0.0010496,0.0010496
50,319.133,0.41078,0.39218,0.31661,0.78768,0.99965,1,0.995,0.92623,0.99965,1,0.995,0.67031,0.35761,0.29464,0.24922,0.80817,0.0010298,0.0010298,0.0010298
51,325.567,0.4134,0.38356,0.31407,0.78879,0.99963,1,0.995,0.93929,0.99963,1,0.995,0.65363,0.33315,0.26219,0.24218,0.80824,0.00101,0.00101,0.00101
52,331.175,0.40793,0.36793,0.31106,0.78713,0.99961,1,0.995,0.93402,0.99961,1,0.995,0.66552,0.34165,0.27601,0.23615,0.8074,0.0009902,0.0009902,0.0009902
53,337.577,0.40602,0.39182,0.3078,0.78689,0.99959,1,0.995,0.9369,0.99959,1,0.995,0.68064,0.32384,0.25208,0.22411,0.80616,0.0009704,0.0009704,0.0009704
54,342.973,0.40819,0.39462,0.30825,0.78592,0.99963,1,0.995,0.92764,0.99963,1,0.995,0.68953,0.34161,0.25249,0.23875,0.80786,0.0009506,0.0009506,0.0009506
55,349.238,0.38432,0.36553,0.2974,0.7839,0.99964,1,0.995,0.92806,0.99964,1,0.995,0.6451,0.35037,0.27583,0.23539,0.80814,0.0009308,0.0009308,0.0009308
56,354.646,0.39483,0.36137,0.29867,0.78306,0.99966,1,0.995,0.95661,0.99966,1,0.995,0.64291,0.29978,0.24278,0.22263,0.80498,0.000911,0.000911,0.000911
57,360.529,0.40874,0.37333,0.30177,0.78533,0.99967,1,0.995,0.93834,0.99967,1,0.995,0.65812,0.33895,0.28204,0.23284,0.80961,0.0008912,0.0008912,0.0008912
58,366.529,0.40329,0.36831,0.30011,0.78311,0.99968,1,0.995,0.93004,0.99968,1,0.995,0.65159,0.37371,0.31868,0.25402,0.81087,0.0008714,0.0008714,0.0008714
59,371.836,0.40277,0.39417,0.30311,0.78921,0.99967,1,0.995,0.92355,0.99967,1,0.995,0.65584,0.37401,0.28811,0.24801,0.81087,0.0008516,0.0008516,0.0008516
